Number_of_Customers,Food_Prepared_kg,Food_Consumed_kg,Food_Category,Day_of_Week,Holiday_Event,Previous_Food_Waste_kg,Temperature_C,Food_Waste_kg
382,199.41,183.21,Bakery,Friday,0,18.24,20.6,16.99
127,78.76,58.05,Buffet,Tuesday,0,28.28,19.7,22.95
345,181.9,164.14,Fast Food,Thursday,0,9.67,37.0,19.12
303,162.03,129.1,Buffet,Saturday,0,9.46,36.1,37.98
464,238.21,198.85,Catering,Tuesday,1,20.18,16.1,45.01
429,221.65,198.33,Fine Dining,Sunday,0,19.28,22.8,22.31
364,190.89,174.58,Fast Food,Wednesday,0,11.31,24.3,16.62
467,239.63,190.71,Buffet,Tuesday,0,11.84,20.5,51.89
416,215.5,177.06,Fast Food,Tuesday,0,11.17,29.5,37.18
359,188.53,152.93,Fast Food,Saturday,0,27.46,29.7,36.97
196,111.4,80.53,Bakery,Wednesday,0,23.51,34.6,32.99
195,110.93,87.09,Fine Dining,Sunday,0,29.47,32.0,24.15
178,102.89,84.47,Catering,Friday,1,34.19,27.5,25.87
160,94.37,76.48,Fast Food,Friday,0,17.65,30.0,18.05
104,67.87,59.65,Buffet,Tuesday,0,4.2,21.3,10.35
146,87.75,70.61,Bakery,Wednesday,0,3.59,28.6,17.83
186,106.67,88.29,Bakery,Wednesday,0,11.76,26.3,19.85
176,101.94,83.03,Fine Dining,Sunday,0,32.77,18.1,21.63
450,231.58,204.47,Bakery,Saturday,0,19.27,20.6,27.92
201,113.77,103.51,Fast Food,Thursday,1,10.97,21.7,12.25
467,239.63,200.57,Fine Dining,Friday,0,15.17,36.3,41.01
491,250.98,224.29,Fast Food,Saturday,1,21.75,20.3,28.66
139,84.43,66.3,Buffet,Monday,1,23.55,21.7,23.11
377,197.04,165.34,Buffet,Friday,0,7.08,23.5,34.96
438,225.9,179.81,Buffet,Saturday,1,34.24,30.3,51.5
346,182.38,147.93,Fine Dining,Friday,0,19.98,17.7,34.98
180,103.83,91.49,Fast Food,Thursday,1,6.48,36.9,15.39
122,76.39,69.82,Fine Dining,Monday,0,31.49,34.9,8.78
216,120.87,90.26,Catering,Thursday,1,4.46,28.3,35.83
237,130.8,112.44,Buffet,Sunday,1,31.96,30.5,24.78
151,90.11,76.42,Fast Food,Monday,1,34.89,15.4,18.44
95,63.62,47.46,Bakery,Tuesday,0,25.11,22.8,16.04
499,254.77,195.31,Buffet,Saturday,0,27.42,33.3,63.72
218,121.81,96.04,Buffet,Monday,0,13.13,16.8,27.7
460,236.31,178.82,Fast Food,Sunday,0,33.07,21.5,58.5
440,226.85,175.5,Buffet,Sunday,0,19.48,28.5,55.41
225,125.12,97.45,Catering,Thursday,0,26.17,20.9,32.68
257,140.27,111.35,Bakery,Friday,0,32.5,36.5,33.49
452,232.53,205.76,Fine Dining,Monday,1,34.18,18.0,30.93
456,234.42,198.28,Catering,Saturday,0,29.5,33.3,40.98
355,186.63,174.87,Bakery,Monday,1,12.0,26.7,16.16
256,139.79,113.4,Buffet,Wednesday,0,33.9,32.3,32.17
159,93.9,83.18,Catering,Friday,1,22.73,22.1,16.54
478,244.83,223.22,Fine Dining,Saturday,1,32.71,26.8,25.66
433,223.54,194.34,Bakery,Saturday,0,24.31,34.7,32.21
214,119.92,97.21,Catering,Tuesday,0,12.14,25.7,27.32
62,48.0,42.52,Fast Food,Thursday,0,14.21,23.3,5.92
252,137.9,105.47,Buffet,Tuesday,0,20.17,27.3,35.25
444,228.74,181.18,Buffet,Saturday,0,28.07,31.5,50.81
274,148.31,124.62,Fast Food,Friday,0,12.49,25.2,24.05
52,43.27,36.63,Bakery,Monday,0,21.13,36.6,9.84
140,84.91,61.55,Catering,Monday,0,13.41,21.8,26.14
456,234.42,217.52,Buffet,Friday,0,28.92,25.9,20.36
63,48.48,42.34,Fine Dining,Saturday,0,17.4,32.4,7.07
403,209.34,173.55,Fast Food,Sunday,0,4.53,30.8,35.53
50,42.32,39.16,Buffet,Monday,1,7.48,34.9,9.62
312,166.29,135.79,Buffet,Sunday,0,4.02,37.9,35.62
491,250.98,234.84,Fast Food,Monday,1,18.48,24.8,19.5
470,241.04,200.71,Catering,Monday,0,5.51,17.6,43.48
320,170.07,126.73,Fast Food,Thursday,0,5.77,15.7,43.55
133,81.6,72.48,Fine Dining,Thursday,0,33.05,31.7,10.15
240,132.22,114.95,Bakery,Wednesday,0,30.8,35.1,20.9
60,47.06,41.89,Fast Food,Tuesday,0,16.92,20.1,5.98
379,197.99,184.0,Catering,Friday,0,34.53,18.6,20.65
250,136.95,122.0,Catering,Friday,0,2.01,16.4,18.9
179,103.36,88.32,Fast Food,Friday,0,22.26,33.9,17.07
332,175.75,159.69,Fast Food,Wednesday,0,22.34,22.2,16.92
337,178.12,154.63,Fast Food,Thursday,0,17.1,24.2,24.98
440,226.85,183.7,Fast Food,Saturday,0,15.1,26.6,43.02
140,84.91,77.68,Buffet,Sunday,0,17.03,34.3,12.27
343,180.96,139.13,Fine Dining,Sunday,0,15.69,30.0,41.89
398,206.98,181.57,Fine Dining,Saturday,0,26.11,29.1,26.17
67,50.37,46.04,Buffet,Wednesday,1,6.47,19.0,7.42
80,56.52,49.79,Fast Food,Saturday,0,8.52,26.8,7.56
394,205.09,179.13,Catering,Friday,0,7.96,31.5,30.0
342,180.48,159.83,Buffet,Tuesday,1,10.66,37.4,26.34
185,106.2,87.33,Buffet,Monday,0,19.33,19.6,21.4
295,158.24,144.37,Fast Food,Sunday,0,5.67,15.2,15.2
266,144.52,110.52,Catering,Thursday,0,30.65,16.7,38.12
275,148.78,111.29,Buffet,Thursday,0,11.81,23.6,39.85
400,207.92,162.76,Fine Dining,Wednesday,0,7.36,33.9,47.88
419,216.91,181.54,Bakery,Thursday,0,24.3,15.2,36.82
494,252.4,210.08,Buffet,Friday,0,3.26,25.5,45.86
52,43.27,38.97,Bakery,Sunday,0,22.46,22.6,5.28
249,136.48,110.41,Fast Food,Saturday,1,25.04,16.2,28.59
268,145.47,120.24,Fine Dining,Friday,1,9.09,25.4,27.8
436,224.96,162.63,Fine Dining,Wednesday,0,3.38,20.9,62.42
139,84.43,68.4,Fine Dining,Friday,0,14.0,23.1,16.79
70,51.79,44.67,Buffet,Saturday,0,5.25,31.2,9.88
425,219.75,158.97,Bakery,Tuesday,0,5.84,27.0,60.74
55,44.69,34.94,Fast Food,Wednesday,0,10.39,17.9,11.34
176,101.94,78.06,Buffet,Tuesday,0,11.75,37.1,27.83
368,192.78,140.58,Buffet,Monday,1,19.49,29.6,57.75
205,115.66,95.47,Fine Dining,Tuesday,0,24.39,32.6,22.42
498,254.29,193.26,Fine Dining,Monday,0,21.56,16.8,62.14
349,183.79,162.37,Buffet,Monday,0,6.9,16.1,23.63
479,245.3,222.38,Fine Dining,Tuesday,0,7.68,15.4,24.16
139,84.43,70.92,Buffet,Wednesday,1,31.0,19.3,19.46
148,88.69,83.01,Fine Dining,Saturday,0,20.43,24.5,6.66
382,199.41,163.34,Buffet,Friday,0,30.71,36.5,41.21
212,118.97,99.09,Fine Dining,Friday,0,14.26,25.5,21.8
276,149.26,139.95,Fast Food,Saturday,0,22.28,21.7,9.62
201,113.77,87.71,Catering,Sunday,0,19.28,27.9,30.16
432,223.07,206.87,Buffet,Sunday,0,12.53,17.6,18.78
255,139.32,101.62,Fast Food,Monday,0,17.51,29.0,37.0
303,162.03,132.57,Buffet,Monday,0,18.58,28.1,31.15
302,161.56,118.81,Catering,Wednesday,0,8.63,33.2,46.06
331,175.28,154.32,Catering,Thursday,0,12.4,37.7,25.38
313,166.76,142.39,Fast Food,Tuesday,0,28.12,20.8,27.23
42,38.54,33.74,Fine Dining,Monday,0,32.22,26.7,6.65
67,50.37,40.42,Bakery,Friday,0,13.87,35.9,13.32
365,191.36,153.33,Fine Dining,Wednesday,1,12.13,33.1,40.57
467,239.63,174.92,Fine Dining,Tuesday,1,8.44,26.2,66.9
188,107.62,85.77,Buffet,Wednesday,1,24.39,36.7,30.28
67,50.37,46.56,Buffet,Tuesday,0,12.66,16.3,5.84
349,183.79,147.66,Catering,Tuesday,0,34.6,36.4,42.14
477,244.36,220.63,Catering,Saturday,0,12.75,16.2,28.53
104,67.87,61.44,Fine Dining,Monday,0,15.01,27.6,7.8
395,205.56,164.88,Fast Food,Wednesday,1,21.91,35.5,45.92
60,47.06,40.43,Fast Food,Wednesday,0,28.46,21.0,7.94
291,156.35,115.85,Bakery,Saturday,0,17.49,25.9,42.68
274,148.31,110.17,Catering,Friday,0,15.95,22.5,41.87
266,144.52,105.6,Catering,Friday,0,34.86,36.9,45.08
52,43.27,36.69,Bakery,Sunday,0,2.35,33.9,7.83
352,185.21,150.71,Fine Dining,Monday,0,31.54,31.3,36.89
88,60.3,50.69,Buffet,Monday,0,6.92,28.5,12.7
157,92.95,77.58,Buffet,Thursday,0,27.94,33.9,19.92
93,62.67,49.95,Catering,Saturday,0,22.39,24.0,18.01
177,102.41,89.0,Fine Dining,Friday,0,13.28,25.3,13.73
92,62.2,55.16,Buffet,Tuesday,1,30.84,31.8,14.11
83,57.94,41.9,Buffet,Wednesday,1,2.43,23.2,21.48
342,180.48,138.17,Fine Dining,Monday,0,9.48,16.5,43.37
92,62.2,54.54,Buffet,Wednesday,0,20.71,16.7,10.22
113,72.13,58.07,Buffet,Wednesday,0,13.6,17.7,17.39
85,58.88,50.98,Fine Dining,Thursday,0,22.14,35.0,11.4
52,43.27,34.46,Fine Dining,Friday,0,2.8,25.9,7.47
204,115.19,92.84,Fine Dining,Monday,1,5.84,31.4,24.74
141,85.38,64.45,Buffet,Wednesday,0,6.19,24.0,24.61
319,169.6,131.75,Bakery,Monday,1,8.25,21.0,40.89
297,159.19,135.82,Buffet,Tuesday,0,17.16,23.0,27.2
376,196.57,160.26,Fast Food,Thursday,0,26.82,33.3,39.31
395,205.56,183.02,Bakery,Tuesday,0,31.88,29.4,25.21
437,225.43,204.59,Fine Dining,Monday,1,29.57,36.6,25.52
177,102.41,85.94,Bakery,Sunday,0,8.5,30.6,18.27
202,114.24,101.31,Fine Dining,Monday,0,16.56,28.1,13.85
448,230.64,181.63,Fine Dining,Friday,0,8.58,29.0,51.19
426,220.23,178.67,Buffet,Wednesday,0,10.73,36.7,45.74
150,89.64,78.6,Fast Food,Wednesday,0,18.62,33.1,12.27
141,85.38,68.73,Fast Food,Tuesday,0,4.25,15.6,17.65
56,45.16,38.36,Buffet,Thursday,0,9.2,27.3,8.99
307,163.92,124.71,Catering,Sunday,0,32.87,30.8,43.45
221,123.23,104.99,Fast Food,Saturday,0,17.38,32.2,19.08
411,213.13,193.85,Catering,Wednesday,0,16.7,19.9,22.74
63,48.48,44.17,Fine Dining,Friday,0,2.48,34.9,5.27
68,50.84,44.71,Bakery,Tuesday,0,10.16,37.0,9.45
210,118.03,104.35,Fine Dining,Tuesday,0,30.59,20.4,14.63
448,230.64,194.37,Fine Dining,Saturday,0,7.43,35.3,38.25
267,145.0,123.05,Fast Food,Friday,1,15.7,17.2,25.07
417,215.97,161.85,Buffet,Thursday,0,2.47,16.3,56.2
227,126.07,103.08,Bakery,Friday,0,17.79,18.0,25.38
385,200.83,164.51,Fast Food,Thursday,0,2.69,16.3,37.17
269,145.94,135.85,Buffet,Friday,0,29.05,34.4,13.3
360,189.0,154.0,Fine Dining,Friday,0,29.22,16.4,36.4
379,197.99,166.48,Buffet,Monday,0,28.0,21.2,34.72
158,93.42,78.22,Catering,Tuesday,0,11.35,17.4,19.7
195,110.93,95.41,Catering,Friday,0,29.63,21.8,19.29
311,165.82,146.69,Catering,Saturday,0,19.92,17.1,21.86
214,119.92,92.28,Fast Food,Friday,0,14.34,30.4,28.55
143,86.33,72.2,Buffet,Wednesday,0,22.64,18.1,16.82
131,80.65,72.72,Catering,Tuesday,0,2.41,34.6,12.7
225,125.12,102.83,Fast Food,Wednesday,0,6.72,33.8,22.78
499,254.77,199.04,Catering,Tuesday,0,26.5,15.3,59.78
322,171.02,147.77,Catering,Wednesday,1,10.06,35.6,30.83
220,122.76,110.63,Catering,Friday,0,21.73,15.7,16.88
209,117.55,86.27,Fast Food,Friday,0,14.71,20.5,32.25
226,125.6,111.9,Fast Food,Monday,0,30.21,15.7,14.81
214,119.92,108.02,Catering,Saturday,0,33.43,22.7,16.54
261,142.16,116.79,Fast Food,Wednesday,0,31.16,26.8,27.17
272,147.36,137.98,Buffet,Thursday,0,10.93,33.3,12.32
201,113.77,101.61,Fine Dining,Monday,0,8.41,22.8,13.18
460,236.31,210.36,Catering,Wednesday,0,17.66,31.2,29.26
173,100.52,88.91,Fine Dining,Wednesday,0,2.24,19.3,12.16
430,222.12,167.29,Fine Dining,Monday,0,2.85,32.3,54.7
263,143.1,109.87,Buffet,Friday,0,20.26,20.4,38.11
192,109.51,90.03,Fine Dining,Wednesday,1,19.17,18.3,22.66
72,52.73,41.03,Catering,Friday,0,34.82,19.3,14.85
94,63.14,51.23,Buffet,Monday,0,8.66,19.2,14.76
481,246.25,225.43,Fine Dining,Friday,1,10.52,26.8,22.62
46,40.43,36.44,Catering,Tuesday,0,5.75,34.4,7.67
283,152.57,131.0,Bakery,Thursday,0,32.28,16.8,23.98
352,185.21,168.32,Fine Dining,Sunday,0,27.67,31.3,17.75
165,96.74,86.33,Bakery,Wednesday,1,29.14,30.0,15.28
51,42.8,34.86,Fast Food,Saturday,0,31.79,35.1,10.84
55,44.69,34.15,Fast Food,Thursday,0,19.32,20.6,11.59
247,135.53,112.91,Bakery,Sunday,0,16.89,25.4,24.28
82,57.47,50.69,Bakery,Friday,1,12.9,36.3,11.87
412,213.6,174.3,Catering,Wednesday,0,21.44,30.2,44.12
174,100.99,87.53,Catering,Friday,0,16.99,23.9,17.5
267,145.0,107.41,Fine Dining,Tuesday,0,16.9,18.0,37.22
150,89.64,79.29,Fine Dining,Monday,0,32.92,21.0,11.04
346,182.38,163.92,Bakery,Wednesday,0,34.47,28.4,20.68
496,253.35,221.81,Fine Dining,Sunday,1,28.28,31.5,33.82
199,112.82,105.24,Bakery,Sunday,0,26.97,17.9,9.84
370,193.73,174.72,Bakery,Tuesday,0,24.46,28.8,22.24
303,162.03,148.85,Catering,Tuesday,0,7.48,27.7,17.48
264,143.58,132.87,Fast Food,Wednesday,1,3.95,26.8,13.26
256,139.79,125.29,Fast Food,Friday,0,24.79,30.9,16.51
495,252.87,219.58,Buffet,Saturday,0,26.05,34.3,39.55
84,58.41,42.13,Fine Dining,Sunday,1,3.55,22.4,18.9
253,138.37,113.81,Buffet,Sunday,1,32.63,35.4,32.02
98,65.04,55.0,Fast Food,Tuesday,1,5.01,18.7,10.89
171,99.58,78.36,Fine Dining,Thursday,1,11.43,19.0,24.54
143,86.33,68.2,Fast Food,Tuesday,0,24.19,21.1,19.42
234,129.38,120.51,Fine Dining,Saturday,0,7.61,17.7,9.11
452,232.53,213.04,Buffet,Friday,0,3.83,20.3,21.88
196,111.4,101.02,Buffet,Friday,1,12.93,17.4,14.76
137,83.49,67.57,Bakery,Thursday,0,27.28,33.9,19.9
265,144.05,104.15,Fast Food,Sunday,0,15.65,18.2,40.5
451,232.06,171.18,Buffet,Tuesday,0,23.55,32.2,64.54
244,134.11,105.77,Fine Dining,Friday,0,21.13,16.1,28.57
118,74.5,53.9,Bakery,Saturday,0,2.73,36.8,23.17
163,95.79,69.33,Buffet,Wednesday,1,34.62,31.4,32.37
467,239.63,220.86,Fine Dining,Monday,1,3.37,15.2,20.23
257,140.27,122.79,Buffet,Monday,0,33.94,32.6,20.92
43,39.01,30.74,Buffet,Monday,0,20.15,26.8,12.34
129,79.7,59.71,Fine Dining,Sunday,0,33.78,32.9,21.97
143,86.33,71.87,Fine Dining,Tuesday,0,5.79,27.0,13.82
432,223.07,160.87,Fine Dining,Thursday,1,18.18,29.7,64.77
158,93.42,86.55,Bakery,Friday,0,7.59,33.1,9.38
172,100.05,81.17,Catering,Wednesday,0,3.68,24.3,22.05
351,184.74,149.36,Fine Dining,Saturday,1,22.38,15.1,38.23
135,82.54,66.52,Fast Food,Wednesday,0,8.86,34.5,17.38
473,242.46,178.27,Bakery,Saturday,0,21.39,23.8,65.02
370,193.73,166.69,Fast Food,Sunday,0,5.71,26.4,28.03
182,104.78,92.34,Fast Food,Tuesday,0,12.96,15.2,11.59
327,173.39,150.63,Buffet,Monday,0,27.79,26.3,26.74
67,50.37,37.8,Buffet,Tuesday,0,16.42,37.7,17.67
317,168.65,142.9,Catering,Sunday,0,22.72,21.4,29.48
272,147.36,124.56,Bakery,Thursday,1,23.37,24.1,26.82
56,45.16,41.14,Fine Dining,Thursday,0,29.84,30.8,5.41
98,65.04,52.25,Fast Food,Sunday,0,12.72,33.7,14.45
129,79.7,63.9,Buffet,Saturday,0,24.68,24.6,20.08
238,131.28,112.39,Buffet,Friday,0,33.73,22.1,22.11
401,208.4,179.07,Fast Food,Friday,0,26.1,36.6,32.2
480,245.78,202.34,Fine Dining,Saturday,0,18.17,30.6,45.91
65,49.42,40.4,Bakery,Thursday,0,22.81,17.7,11.14
64,48.95,40.57,Fine Dining,Thursday,1,26.41,16.6,10.83
433,223.54,203.29,Fast Food,Thursday,0,22.21,26.1,22.95
340,179.54,147.48,Catering,Tuesday,0,2.55,20.1,35.23
378,197.52,183.06,Bakery,Thursday,1,8.43,20.8,17.78
306,163.45,135.81,Fine Dining,Wednesday,0,28.75,35.2,30.07
220,122.76,114.02,Fine Dining,Monday,0,11.0,17.1,9.54
495,252.87,228.4,Fast Food,Thursday,0,26.14,31.5,25.77
399,207.45,165.91,Buffet,Saturday,0,14.28,21.2,44.76
107,69.29,63.05,Fast Food,Monday,0,19.22,32.5,8.45
390,203.19,151.22,Bakery,Tuesday,0,4.24,31.6,53.38
451,232.06,214.31,Buffet,Saturday,0,7.98,15.2,20.23
498,254.29,218.43,Buffet,Monday,0,33.59,26.7,39.47
360,189.0,138.34,Buffet,Saturday,0,31.37,18.2,53.54
88,60.3,51.96,Buffet,Tuesday,0,23.53,34.9,12.27
214,119.92,112.05,Catering,Wednesday,0,17.17,35.0,12.03
91,61.72,45.39,Bakery,Tuesday,0,24.3,24.6,18.3
141,85.38,71.89,Fast Food,Tuesday,0,22.41,25.2,15.06
255,139.32,123.23,Buffet,Saturday,1,20.76,22.0,22.38
477,244.36,219.5,Fast Food,Sunday,0,3.95,31.5,25.59
227,126.07,102.25,Fast Food,Friday,0,22.88,23.2,25.1
96,64.09,49.02,Buffet,Thursday,0,27.37,21.2,18.86
86,59.36,43.29,Fast Food,Thursday,0,34.8,24.9,15.79
198,112.35,95.22,Fast Food,Wednesday,1,2.37,17.1,18.11
213,119.45,97.91,Fine Dining,Wednesday,1,26.1,32.2,25.62
281,151.62,140.81,Fine Dining,Thursday,0,20.87,15.3,12.33
321,170.55,125.07,Buffet,Friday,0,16.32,29.8,49.57
280,151.15,131.62,Fast Food,Thursday,0,6.21,19.2,19.64
409,212.18,153.94,Fine Dining,Sunday,1,15.5,20.3,59.06
44,39.49,29.92,Fine Dining,Friday,0,13.69,29.6,9.53
123,76.86,63.01,Catering,Wednesday,0,11.99,37.8,18.1
347,182.85,149.95,Fine Dining,Monday,0,26.12,32.9,35.18
400,207.92,181.07,Buffet,Saturday,0,25.12,20.2,30.07
498,254.29,234.01,Buffet,Sunday,0,21.44,19.0,24.99
287,154.46,132.93,Fine Dining,Sunday,0,32.98,34.9,25.06
93,62.67,58.27,Buffet,Wednesday,0,13.55,25.2,8.78
200,113.3,103.55,Fine Dining,Wednesday,0,10.05,18.2,9.42
473,242.46,205.75,Catering,Tuesday,0,23.64,34.8,42.07
461,236.79,213.92,Fine Dining,Sunday,0,8.56,33.8,23.7
450,231.58,199.48,Fast Food,Tuesday,0,12.4,37.6,34.3
265,144.05,106.21,Fine Dining,Tuesday,0,9.41,35.9,38.76
54,44.22,39.04,Fast Food,Saturday,0,4.28,34.6,7.32
263,143.1,106.02,Fine Dining,Tuesday,0,29.31,16.2,37.62
100,65.98,56.13,Catering,Friday,0,10.4,17.4,11.71
161,94.84,82.95,Fast Food,Thursday,0,17.61,28.1,14.24
316,168.18,123.55,Catering,Monday,0,3.43,27.2,48.12
85,58.88,45.38,Catering,Wednesday,0,25.08,25.5,16.65
492,251.45,231.7,Buffet,Friday,1,12.91,24.1,24.44
429,221.65,189.64,Buffet,Monday,0,26.58,24.9,35.11
333,176.22,136.43,Buffet,Sunday,1,15.61,28.1,44.73
101,66.46,57.95,Buffet,Sunday,0,8.46,15.0,11.99
125,77.81,66.24,Buffet,Sunday,0,18.93,21.0,15.34
485,248.14,206.04,Fine Dining,Friday,0,6.31,26.9,42.56
249,136.48,127.58,Buffet,Friday,0,16.54,31.6,12.61
117,74.03,64.43,Fast Food,Wednesday,0,12.47,19.0,10.96
241,132.7,106.5,Bakery,Thursday,0,32.09,27.6,26.94
341,180.01,161.29,Buffet,Tuesday,0,4.01,31.4,21.29
436,224.96,205.75,Bakery,Sunday,0,24.9,25.2,20.42
262,142.63,106.62,Fast Food,Saturday,0,8.03,15.6,37.14
261,142.16,108.63,Buffet,Thursday,0,12.53,25.3,35.94
42,38.54,29.58,Fine Dining,Saturday,0,15.71,21.8,8.56
45,39.96,34.85,Fine Dining,Wednesday,0,31.96,36.4,8.09
132,81.12,69.17,Catering,Wednesday,0,10.01,17.9,14.62
47,40.91,35.03,Bakery,Wednesday,0,5.01,30.0,7.1
467,239.63,222.13,Bakery,Monday,0,12.52,16.2,20.91
274,148.31,132.1,Fast Food,Saturday,0,5.45,25.3,17.06
147,88.22,66.0,Buffet,Thursday,1,6.24,27.7,26.6
200,113.3,90.24,Bakery,Thursday,1,20.94,21.9,26.6
248,136.01,110.96,Bakery,Friday,0,4.01,25.5,26.94
279,150.67,121.61,Catering,Friday,0,3.02,18.8,32.71
370,193.73,168.01,Fast Food,Sunday,0,25.58,22.0,26.8
372,194.68,178.37,Fast Food,Friday,0,13.93,29.3,17.15
89,60.78,47.85,Bakery,Wednesday,0,6.14,21.9,12.99
50,42.32,35.61,Fast Food,Thursday,0,10.37,35.7,6.93
390,203.19,181.58,Catering,Saturday,1,23.19,29.5,27.42
195,110.93,90.03,Catering,Wednesday,0,11.09,25.1,23.84
109,70.24,53.17,Fast Food,Monday,0,18.32,15.9,18.27
208,117.08,96.53,Bakery,Friday,0,6.02,26.5,21.95
311,165.82,121.4,Bakery,Wednesday,0,21.41,32.6,46.35
